time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.6254,0.2842,-0.3868,0.788
0.003000,-0.4026,0.5204,-0.1995,0.688
0.009000,-0.0404,0.6106,0.2435,0.659
0.012000,0.2767,0.6194,0.7197,0.989
0.017000,0.5013,0.6632,1.1506,1.420
0.022000,0.6543,0.7120,1.3759,1.682
0.028000,0.7128,0.6866,1.5509,1.840
0.032000,0.6898,0.5984,1.7261,1.953
0.037000,0.6350,0.5944,1.7332,1.939
0.042000,0.6496,0.5988,1.6028,1.830
0.047000,0.7115,0.5138,1.3995,1.652
0.052000,0.7671,0.4224,1.1024,1.408
0.060000,0.7718,0.4230,0.8972,1.257
0.063000,0.6980,0.4582,0.7147,1.099
0.068000,0.6027,0.4642,0.6696,1.013
0.073000,0.5142,0.4420,0.4729,0.827
0.078000,0.4203,0.3213,0.2347,0.579
0.083000,0.3766,0.1901,0.0490,0.425
0.087000,0.3811,0.0666,-0.0760,0.394
0.093000,0.2569,-0.0016,-0.2706,0.373
0.098000,0.0965,-0.0992,-0.2315,0.270
0.103000,-0.0224,-0.1618,-0.2924,0.335
0.116000,-0.1399,-0.1310,-0.3253,0.378
0.117000,-0.1862,-0.1024,-0.3077,0.374
0.118000,-0.1329,-0.0854,-0.3699,0.402
0.123000,-0.0687,0.0004,-0.4367,0.442
0.133000,0.0529,0.0587,-0.3674,0.376
0.134000,0.1837,0.1173,-0.3165,0.384
0.138000,0.2378,0.1544,-0.2711,0.392
0.144000,0.2440,0.1250,-0.1322,0.304
0.149000,0.2511,0.1608,0.0139,0.299
0.154000,0.2838,0.1028,0.1684,0.346
0.158000,0.3703,0.0693,0.1463,0.404
0.163000,0.5027,0.0342,0.0722,0.509
0.169000,0.7256,-0.0539,-0.1483,0.743
0.175000,0.8397,-0.0615,-0.1909,0.863
0.178000,1.0448,-0.0726,-0.1541,1.059
0.184000,0.6049,-0.0192,-0.0963,0.613
0.189000,0.1076,0.0054,-0.0151,0.109
0.193000,-0.0899,0.0498,-0.0587,0.118
0.198000,-0.2531,0.0258,0.1196,0.281
0.203000,-0.3074,-0.0393,0.2806,0.418
0.210000,-0.2595,-0.1652,0.3361,0.456
0.214000,-0.1478,-0.3495,0.3110,0.491
0.219000,-0.0671,-0.5092,0.2965,0.593
0.225000,-0.0611,-0.5782,0.3250,0.666
0.229000,-0.1582,-0.6042,0.4236,0.755
0.234000,-0.2033,-0.5868,0.5194,0.810
0.239000,-0.2519,-0.5331,0.5177,0.785
0.244000,-0.3189,-0.4519,0.5046,0.749
0.249000,-0.3596,-0.4177,0.5167,0.755
0.254000,-0.4322,-0.3842,0.5679,0.811
0.260000,-0.4441,-0.3177,0.6569,0.854
0.265000,-0.4215,-0.2436,0.6976,0.851
0.270000,-0.2705,-0.1800,0.7859,0.850
0.276000,-0.0538,-0.0700,0.9123,0.917
0.280000,0.1318,-0.0193,0.9311,0.941
0.284000,0.1831,0.0667,0.9705,0.990
0.290000,0.1927,0.0802,0.9276,0.951
0.295000,0.2014,0.0825,0.8279,0.856
0.300000,0.1942,0.0773,0.6688,0.701
0.305000,0.1598,0.0528,0.5485,0.574
0.320000,0.0988,-0.0218,0.4404,0.452
0.321000,-0.0387,-0.0425,0.4973,0.501
0.321000,-0.1600,-0.0698,0.7116,0.733
0.326000,-0.1331,-0.0643,0.8905,0.903
0.332000,-0.0502,-0.0227,0.8660,0.868
0.335000,0.0468,0.0080,0.7102,0.712
0.343000,0.0354,0.0693,0.6158,0.621
0.345000,-0.0509,0.1654,0.4980,0.527
0.350000,-0.0452,0.2293,0.4204,0.481
0.355000,-0.0013,0.3162,0.3027,0.438
0.360000,0.0050,0.3429,0.1925,0.393
0.365000,-0.0357,0.2967,0.0753,0.308
0.371000,-0.1066,0.2686,0.0812,0.300
0.376000,-0.1242,0.2350,0.1925,0.328
0.380000,-0.0620,0.2805,0.3159,0.427
0.386000,0.0108,0.3257,0.4300,0.540
0.391000,0.0873,0.3599,0.4822,0.608
0.396000,0.1031,0.3309,0.4356,0.557
0.401000,0.0851,0.3055,0.4297,0.534
0.406000,0.0891,0.2631,0.4354,0.516
0.420000,0.0920,0.2224,0.4715,0.529
0.421000,0.1125,0.2183,0.4878,0.546
0.422000,0.1377,0.1851,0.5749,0.619
0.426000,0.1317,0.2515,0.5717,0.638
0.431000,0.1560,0.3463,0.6434,0.747
0.437000,0.1910,0.4686,0.7746,0.925
0.446000,0.2639,0.5267,0.8915,1.069
0.447000,0.2869,0.4900,0.9085,1.071
0.451000,0.2443,0.3975,0.8750,0.992
0.456000,0.2053,0.3089,0.7363,0.824
0.461000,0.1049,0.1971,0.4769,0.527
0.467000,0.0411,0.0775,0.2482,0.263
0.471000,-0.0255,-0.0440,0.1179,0.128
0.477000,-0.0238,-0.0996,0.0435,0.111
0.482000,-0.0456,-0.0521,0.0690,0.098
0.486000,-0.0177,0.0531,0.1368,0.148
0.493000,-0.0049,0.1597,0.2026,0.258
0.497000,0.0582,0.2910,0.2893,0.414
0.502000,0.1067,0.4081,0.4043,0.584
0.507000,0.1946,0.4768,0.5491,0.753
0.512000,0.2396,0.5150,0.5959,0.823
0.517000,0.2561,0.4505,0.5630,0.765
0.522000,0.2751,0.3494,0.5318,0.693
0.537000,0.2228,0.2929,0.3649,0.518
0.538000,0.1064,0.2761,0.2023,0.358
0.538000,0.0544,0.2562,0.0104,0.262
0.543000,0.0119,0.3032,-0.0760,0.313
0.548000,0.0028,0.3144,-0.0979,0.329
0.552000,0.0214,0.2899,-0.0207,0.291
0.558000,0.0630,0.2886,0.0752,0.305
0.565000,0.0787,0.2767,0.1660,0.332
0.567000,0.1347,0.2638,0.2482,0.386
0.573000,0.1919,0.2235,0.3684,0.472
0.577000,0.2074,0.1964,0.4680,0.548
0.582000,0.2583,0.2313,0.4601,0.576
0.587000,0.2369,0.1870,0.4129,0.511
0.592000,0.2049,0.0998,0.2799,0.361
0.597000,0.2100,0.1050,0.2186,0.321
0.602000,0.2393,0.0787,0.2146,0.331
0.607000,0.2812,0.0604,0.1541,0.326
0.612000,0.2687,0.0443,0.1674,0.320
0.617000,0.2093,0.1067,0.1207,0.264
0.622000,0.2052,0.1731,0.0679,0.277
0.628000,0.1808,0.2242,0.0807,0.299
0.632000,0.1790,0.2789,0.1293,0.356
0.637000,0.1520,0.3274,0.1898,0.408
0.644000,0.1285,0.2986,0.2409,0.405
0.648000,0.1108,0.1842,0.2493,0.329
0.653000,0.0936,0.1180,0.2366,0.280
0.658000,0.1333,0.0234,0.1621,0.211
0.664000,0.1772,-0.0272,0.0999,0.205
0.668000,0.1825,-0.0886,0.0331,0.206
0.673000,0.1318,-0.1456,-0.0280,0.198
0.678000,0.1172,-0.1358,-0.0952,0.203
0.683000,0.1041,-0.0451,-0.1077,0.156
0.688000,0.0778,0.0689,-0.0943,0.140
0.694000,0.0869,0.1586,-0.0299,0.183
0.698000,0.1199,0.2067,0.0389,0.242
0.703000,0.1662,0.2874,0.1038,0.348
0.711000,0.2618,0.2523,0.0956,0.376
0.713000,0.2466,0.1673,0.0683,0.306
0.718000,0.2004,0.1137,0.0004,0.230
0.724000,0.1880,0.0783,-0.0639,0.213
0.728000,0.1708,0.0371,-0.1054,0.204
0.733000,0.1396,0.0309,-0.2210,0.263
